,Mouse-Session,Mean,Std
0,ym212_5FC,-1.0387526007884556e-18,1.0000000000000002
1,ym212_7FC,4.725858930632933e-18,1.0
2,ym213_5FC,-1.2794476575670482e-17,1.0
3,ym213_7FC,2.761202980030658e-18,1.0000000000000002
4,ym214_5FC,-2.229492123643119e-17,1.0
5,ym214_7FC,-1.1195489548841032e-17,0.9999999999999998
6,ym215_5FC,-1.468140997958415e-17,1.0
7,ym215_7FC,-5.1582868930140014e-18,0.9999999999999996
8,ym218_5FC,-5.2899979700929224e-18,1.0
9,ym218_7FC,-2.2181658623030444e-17,1.0000000000000002
10,ym219_5FC,-3.6555360142466836e-18,1.0
11,ym219_7FC,-1.6445199343920156e-17,0.9999999999999999
12,ym220_5FC,-2.488922247580727e-17,0.9999999999999994
13,ym220_7FC,9.007864671265178e-18,0.9999999999999998
14,ym222_5FC,1.328688912785506e-17,0.9999999999999998
15,ym222_7FC,2.1216534891403837e-17,0.9999999999999999
16,ym223_5FC,8.45025394422812e-18,0.9999999999999999
17,ym223_7FC,1.6335343384057995e-18,1.0000000000000004
18,ym224_5FC,-1.3776526541994079e-17,1.0
19,ym224_7FC,3.6316643214289304e-18,0.9999999999999998
20,ym226_5FC,-1.2722035956643041e-17,0.9999999999999998
21,ym226_7FC,5.383083027528212e-19,1.0
22,ym227_5FC,-1.7637141363332252e-17,0.9999999999999998
23,ym227_7FC,-2.826273156534892e-18,1.0000000000000002
