,Mouse-Session,Mean,Std
0,ym212_5FC,0.0007165539085559178,0.09292914972422259
1,ym212_7FC,-0.00022457563755883482,0.09674711691124739
2,ym213_5FC,0.0009683585136280549,0.08542255050276382
3,ym213_7FC,-0.0006481333822802264,0.09567488387405196
4,ym214_5FC,0.005330954020982959,0.06428702242298459
5,ym214_7FC,0.0019204006401800193,0.07678437579940672
6,ym215_5FC,-0.0001570897568009584,0.07237845697086084
7,ym215_7FC,0.0010792654875065668,0.07415431743006493
8,ym218_5FC,-0.0003636782122211452,0.08070920775424738
9,ym218_7FC,-0.00024167456327687365,0.09072668946773196
10,ym219_5FC,0.00025397371616782605,0.0915180364370706
11,ym219_7FC,-0.0012139627286128077,0.09077609104902144
12,ym220_5FC,-0.00287299733735314,0.11198279903192329
13,ym220_7FC,0.0006480584066228275,0.09846689385597396
14,ym222_5FC,-0.00036538069977859044,0.09602803920019977
15,ym222_7FC,0.0004560461467479411,0.11158400720130925
16,ym223_5FC,-0.001743575799850753,0.100894392924353
17,ym223_7FC,0.0005555985268838209,0.10022866047801314
18,ym224_5FC,-0.0026755447657912995,0.10204785716777058
19,ym224_7FC,-0.00012361444924743396,0.10958075130866061
20,ym226_5FC,0.0012076198668015358,0.1123319284298088
21,ym226_7FC,0.0004364289987717529,0.11694809853793284
22,ym227_5FC,-0.0015990242443184072,0.1055953492310999
23,ym227_7FC,-0.001153352547642833,0.10734676570507411
