,Mouse-Session,Mean,Std
0,ym212_5FC,-2.0999064947933287e-18,0.9999999999999997
1,ym212_7FC,4.949235165375485e-18,1.0000000000000002
2,ym213_5FC,-7.912708005724927e-18,1.0000000000000002
3,ym213_7FC,-1.5016338363682943e-17,1.0
4,ym214_5FC,2.584018405658735e-18,1.0000000000000004
5,ym214_7FC,-2.502574686324521e-19,0.9999999999999994
6,ym215_5FC,8.999008118545463e-18,0.9999999999999999
7,ym215_7FC,7.677157744261118e-18,0.9999999999999996
8,ym218_5FC,-1.7697861780303244e-17,0.9999999999999997
9,ym218_7FC,6.398547790450935e-18,1.0000000000000002
10,ym219_5FC,-1.2703173238693532e-17,1.0000000000000002
11,ym219_7FC,9.896623939654044e-18,0.9999999999999999
12,ym220_5FC,7.259232342865464e-18,0.9999999999999999
13,ym220_7FC,-4.133831862706456e-18,0.9999999999999999
14,ym222_5FC,-1.4844229850054096e-17,0.9999999999999997
15,ym222_7FC,-1.0957677375056251e-17,0.9999999999999998
16,ym223_5FC,1.0398601183270003e-17,0.9999999999999997
17,ym223_7FC,8.788407368708723e-18,1.0
18,ym224_5FC,-5.791522710080104e-18,0.9999999999999999
19,ym224_7FC,-1.1499392462876453e-17,0.9999999999999996
20,ym226_5FC,-1.8762513785925806e-17,1.0
21,ym226_7FC,6.219151352831212e-18,0.9999999999999998
22,ym227_5FC,-1.5394490215040134e-18,0.9999999999999997
23,ym227_7FC,1.1698849617670162e-17,0.9999999999999999
