,Mouse-Session,Mean,Std
0,ym212_5FC,-0.0014485318005560235,0.11959019903908882
1,ym212_7FC,7.837681256386711e-05,0.11566567778927642
2,ym213_5FC,-0.0004454939904240792,0.10848779750033664
3,ym213_7FC,3.200407678354357e-05,0.1067613658545697
4,ym214_5FC,-0.0018889227150634955,0.09749757614629298
5,ym214_7FC,-0.002193713457235391,0.09458404336760072
6,ym215_5FC,-0.0017650549090692112,0.11559222240283655
7,ym215_7FC,-0.00015390120231453312,0.09104752545983875
8,ym218_5FC,0.0005182898462716085,0.10087953001128981
9,ym218_7FC,0.00018235564003489285,0.1048611191350819
10,ym219_5FC,-0.000489095329914937,0.09671561308334566
11,ym219_7FC,-0.001356129766767044,0.10898590485534175
12,ym220_5FC,0.0016313441740090325,0.12671657596331076
13,ym220_7FC,0.0001713744008091276,0.12210044597663998
14,ym222_5FC,-6.338603253869534e-05,0.11608971322311488
15,ym222_7FC,-0.0016055453072068055,0.1358627742065704
16,ym223_5FC,0.0007626690585636746,0.12986346958802444
17,ym223_7FC,0.0010791092032051983,0.13195556648239942
18,ym224_5FC,7.47946531425436e-05,0.14018129091135365
19,ym224_7FC,5.814121345010041e-05,0.1366293746399668
20,ym226_5FC,-0.00383462969494788,0.20093083800595543
21,ym226_7FC,-0.0022294299043188965,0.1951788229012511
22,ym227_5FC,0.0001365297367303214,0.13641181173916148
23,ym227_7FC,-0.0015426805207705964,0.14520566123944442
